date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:46:10	95/95	---MCZ	200	added ('OK')	text/plain	etag:W/%22c26984f14f6ddd9b6d8f9ecbfd5b8722%22	https://aisonggenerator.io/robots.txt		(from )
01:46:11	290018/290018	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Apr%202025%2000:46:11%20GMT	https://aisonggenerator.io/	C:/My%20Web%20Sites/ddd/aisonggenerator.io/index.html	(from )
01:46:11	119251/119251	---M--	200	added ('OK')	image/png	etag:%22fafd0dd412e1dbed66e9eee7faebd173%22	https://aisonggenerator.io/logo.png	C:/My%20Web%20Sites/ddd/aisonggenerator.io/logo.png	(from https://aisonggenerator.io/)
01:46:11	13275/13275	---M--	200	added ('OK')	image/*	etag:%2220dbd4086899d369680cf7579b2ed907%22	https://dns1.aisonggenerator.io/image/361ce399-b8ad-4591-8f8e-480e45d56a73.png	C:/My%20Web%20Sites/ddd/dns1.aisonggenerator.io/image/361ce399-b8ad-4591-8f8e-480e45d56a73.png	(from https://aisonggenerator.io/)
01:46:11	14199/14199	---M--	200	added ('OK')	image/*	etag:%22b9716b5bf5aaa5530347c62c20eed234%22	https://dns1.aisonggenerator.io/image/038abc30-320c-494c-a465-977241e6b03f.png	C:/My%20Web%20Sites/ddd/dns1.aisonggenerator.io/image/038abc30-320c-494c-a465-977241e6b03f.png	(from https://aisonggenerator.io/)
01:46:11	12582/12582	---M--	200	added ('OK')	image/*	etag:%22561aee29f3f4f5da39dfb6d43ef95599%22	https://dns1.aisonggenerator.io/image/908f4383-51e0-478a-8daa-67ae237e7ef0.png	C:/My%20Web%20Sites/ddd/dns1.aisonggenerator.io/image/908f4383-51e0-478a-8daa-67ae237e7ef0.png	(from https://aisonggenerator.io/)
01:46:12	14412/14412	---M--	200	added ('OK')	image/*	etag:%22893ba7f201265ee6bdef9c608d7615d9%22	https://dns1.aisonggenerator.io/image/a884af83-6882-44aa-94b1-46b5840e3c45.png	C:/My%20Web%20Sites/ddd/dns1.aisonggenerator.io/image/a884af83-6882-44aa-94b1-46b5840e3c45.png	(from https://aisonggenerator.io/)
01:46:12	15332/15332	---M--	200	added ('OK')	image/*	etag:%229cd258f0aaa4404c3707315e625dd92e%22	https://dns1.aisonggenerator.io/image/6a617d67-35ab-4d29-b5f6-6ef95e278f59.png	C:/My%20Web%20Sites/ddd/dns1.aisonggenerator.io/image/6a617d67-35ab-4d29-b5f6-6ef95e278f59.png	(from https://aisonggenerator.io/)
01:46:12	11930/11930	---M--	200	added ('OK')	image/*	etag:%22b47a0fe8db7831f9d4ffd20d0c476fe3%22	https://dns1.aisonggenerator.io/image/559bfeb5-ad56-4dfa-bf0c-a4ed0015b1c1.png	C:/My%20Web%20Sites/ddd/dns1.aisonggenerator.io/image/559bfeb5-ad56-4dfa-bf0c-a4ed0015b1c1.png	(from https://aisonggenerator.io/)
01:46:12	10306/10306	---M--	200	added ('OK')	image/*	etag:%225564c3f3bd4f34bf1059a3adc189fbc4%22	https://dns1.aisonggenerator.io/image/796832b9-f232-41a8-83f8-e4438864ae63.png	C:/My%20Web%20Sites/ddd/dns1.aisonggenerator.io/image/796832b9-f232-41a8-83f8-e4438864ae63.png	(from https://aisonggenerator.io/)
01:46:13	8071/8071	---M--	200	added ('OK')	image/*	etag:%227a1473bae754265545cb0433eddafc78%22	https://dns1.aisonggenerator.io/image/07beb644-d343-4df3-94ad-a558454d43c2.png	C:/My%20Web%20Sites/ddd/dns1.aisonggenerator.io/image/07beb644-d343-4df3-94ad-a558454d43c2.png	(from https://aisonggenerator.io/)
01:46:13	17738/17738	---M--	200	added ('OK')	image/*	etag:%22a7b96130b0ddc88b17b69b6d599e67db%22	https://dns1.aisonggenerator.io/image/978b53b9-a5a2-487e-8097-f9d823c0a7fd.png	C:/My%20Web%20Sites/ddd/dns1.aisonggenerator.io/image/978b53b9-a5a2-487e-8097-f9d823c0a7fd.png	(from https://aisonggenerator.io/)
01:46:13	525/525	---MCZ	200	added ('OK')	text/css	etag:W/%22734a8aa013742ae8e9e381aae7934973%22	https://aisonggenerator.io/_next/static/css/2e086a01148667d5.css	C:/My%20Web%20Sites/ddd/aisonggenerator.io/_next/static/css/2e086a01148667d5.css	(from https://aisonggenerator.io/)
01:46:13	127928/127928	---MCZ	200	added ('OK')	text/css	etag:W/%22175605f9b56d2a02a2ec3ea0b7670472%22	https://aisonggenerator.io/_next/static/css/77d7f3f1873d93a7.css	C:/My%20Web%20Sites/ddd/aisonggenerator.io/_next/static/css/77d7f3f1873d93a7.css	(from https://aisonggenerator.io/)
01:46:13	11520/11520	---MCZ	200	added ('OK')	text/css	etag:W/%22b4ec024ff94c26b3d9c013b92ddce869%22	https://aisonggenerator.io/_next/static/css/89efe67ea01a60f3.css	C:/My%20Web%20Sites/ddd/aisonggenerator.io/_next/static/css/89efe67ea01a60f3.css	(from https://aisonggenerator.io/)
01:46:14	4641/4641	---MCZ	200	added ('OK')	application/javascript	etag:W/%221487a61bab6d7714fd863d18666b6a5a%22	https://aisonggenerator.io/_next/static/chunks/webpack-83e2d3fe0b704d78.js	C:/My%20Web%20Sites/ddd/aisonggenerator.io/_next/static/chunks/webpack-83e2d3fe0b704d78.js	(from https://aisonggenerator.io/)
01:46:14	172835/172835	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b43155a6bdb4aa884e931d0d0310fa76%22	https://aisonggenerator.io/_next/static/chunks/8cdbbac6-adc9f86abce6567e.js	C:/My%20Web%20Sites/ddd/aisonggenerator.io/_next/static/chunks/8cdbbac6-adc9f86abce6567e.js	(from https://aisonggenerator.io/)
01:46:14	123897/123897	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ba87e167d3b7aebf9e12fa75559e410f%22	https://aisonggenerator.io/_next/static/chunks/9642-6ce235bd88c6b91a.js	C:/My%20Web%20Sites/ddd/aisonggenerator.io/_next/static/chunks/9642-6ce235bd88c6b91a.js	(from https://aisonggenerator.io/)
01:46:14	474/474	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b93057802e345eb2cca51b49a1816%22	https://aisonggenerator.io/_next/static/chunks/main-app-bbcd37bad7506fa1.js	C:/My%20Web%20Sites/ddd/aisonggenerator.io/_next/static/chunks/main-app-bbcd37bad7506fa1.js	(from https://aisonggenerator.io/)
01:46:15	20636/20636	---MCZ	200	added ('OK')	application/javascript	etag:W/%22beef48798544f9aacc0ffed03c9d83ad%22	https://aisonggenerator.io/_next/static/chunks/9706-2f743aff4bcf5ce4.js	C:/My%20Web%20Sites/ddd/aisonggenerator.io/_next/static/chunks/9706-2f743aff4bcf5ce4.js	(from https://aisonggenerator.io/)
01:46:15	218/218	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ef6358c5aded9e78abb1daba0d6b3d81%22	https://aisonggenerator.io/_next/static/chunks/app/not-found-2a46449248f3ed76.js	C:/My%20Web%20Sites/ddd/aisonggenerator.io/_next/static/chunks/app/not-found-2a46449248f3ed76.js	(from https://aisonggenerator.io/)
